Preprocessed,Stopword
POLARIST 2 miligram TAB 100S mengandung  Dexchlorpheniramine Maleate Tersedia dalam bentuk tablet yang didistribusikan oleh Bernofarm Produk ini merupakan obat alergi yang termasuk antihistamin dengan sifat antikolinergik dan sedatif Obat ini adalah isomer dextrorotatory dari chlorpheniramine,POLARIST 2 miligram TAB 100S mengandung Dexchlorpheniramine Maleate Tersedia didistribusikan oleh Bernofarm Produk ini merupakan alergi termasuk antihistamin dengan sifat antikolinergik dan sedatif ini adalah isomer dextrorotatory dari chlorpheniramine
PoldanMIG kaplet digunakan untuk meringankan sakit kepala dan migrain Kaplet ini merupakan obat bebas yang dapat dibeli tanpa resep dokter PoldanMIG mengandung paracetamol acetosal dan caffeine,PoldanMIG kaplet digunakan meringankan sakit kepala dan migrain Kaplet ini merupakan bebas dapat dibeli tanpa resep dokter PoldanMIG mengandung paracetamol acetosal dan caffeine
"tiap mililiter Polidemisin tetes mata mengandung sebagai berikut Dexamethasone sodium phosphate 1 miligram Neomycin sulphate setara neomycin base 3,5 miligram polymixin B sulphate 6,000 unit-internasional","mililiter Polidemisin tetes mata mengandung Dexamethasone sodium phosphate 1 miligram Neomycin sulphate setara neomycin base 3,5 miligram polymixin B sulphate 6,000 unit-internasional"
Polofar Plus adalah obat untuk mengatasi reaksi alergi seperti gatal-gatal pada kulit bersin-bersin biduran dan sebagainya,Polofar Plus adalah mengatasi reaksi alergi seperti gatal-gatal pada kulit bersin-bersin biduran dan nya
Polofar Plus memiliki kandungan bahan berupa dexchlorpheniramine maleate CTM dan dexamethasone yang merupakan obat anti alergi dan anti inflamasi yang cukup kuat,Polofar Plus memiliki bahan berupa dexchlorpheniramine maleate CTM dan dexamethasone merupakan anti alergi dan anti inflamasi cukup kuat
POLYCROL FORTE SIRUP merupakan obat yang mengandung Aluminium hidroksida magnesium hidroksida dan methylpolysiloxane Obat ini digunakan untuk mengobati gangguan pada saluran pencernaan seperti gastritis perut kembung maag dispepsia hiatus hernia tukak lambung dan usus duabelas jari 1-2 sdt 3 hari,POLYCROL FORTE SIRUP merupakan mengandung Aluminium hidroksida magnesium hidroksida dan methylpolysiloxane ini digunakan mengobati gangguan pada saluran pencernaan seperti gastritis perut kembung maag dispepsia hiatus hernia tukak lambung dan usus duabelas jari 1-2 sdt 3
Tiap kaplet Polysilane mengandung 80 miligram dimethicone 200 miligram aluminium hidroksida serta 200 miligram magnesium hidroksida,kaplet Polysilane mengandung 80 miligram dimethicone 200 miligram aluminium hidroksida serta 200 miligram magnesium hidroksida
POMIFAR 75 miligram 10 KAPLETCamellia sinensis folium 75 miligram Brassica oleracea flos 75 miligram Curcuma longa rhizoma 75 miligram Punica granatum pericarpium 75 miligram Herbal Pratapa Nirmala,POMIFAR 75 miligram 10 KAPLETCamellia sinensis folium 75 miligram Brassica oleracea flos 75 miligram Curcuma longa rhizoma 75 miligram Punica granatum pericarpium 75 miligram Herbal Pratapa Nirmala
Pada setiap tablet Pompaton mengandung 20 miligram famotidine,Pada Pompaton mengandung 20 miligram famotidine
Kandungan famotidine pada Pompaton tersebut berguna untuk terapi jangka pendek dan terapi pemeliharaan untuk tukak duodenum sindrom Zollinger-Ellison adenoma endokrin dan mastositosis sistemik,famotidine pada Pompaton tersebut berguna terapi jangka pendek dan terapi pemeliharaan tukak duodenum sindrom Zollinger-Ellison adenoma endokrin dan mastositosis sistemik
Poncoflox Tablet 500 miligram mengandung Ciprofloxacin obat yang termasuk antibiotik golongan fluorokuinolon generasi ke 2 Berikut ini adalah informasi lengkap obat Poncoflox Tablet 500 miligram yang disertai tautan merk-merk obat lain dengangenerik yang sama,Poncoflox 500 miligram mengandung Ciprofloxacin termasuk antibiotik golongan fluorokuinolon generasi ke 2 ini adalah informasi lengkap Poncoflox 500 miligram disertai tautan merk-merk lain dengangenerik sama
"PONCOLIN SIRUP 60 MLPencegahan dan pengobatan defisiensi vitamin B1, B6 B12 terutama pada Polineuritis Neuralgia Siatika Deskripsi","PONCOLIN SIRUP 60 MLPencegahan dan pengobatan defisiensi vitamin B1, B6 B12 terutama pada Polineuritis Neuralgia Siatika"
Per 5 mililiter Klorfeniramini Maleat 2 miligram Efedrin HCl 5 miligram Natrium Sitrat 75 miligram Gliseril Guaiakolat 50 miligram Chlorpheniramine maleate 2 miligram ephedrine HCl 8 miligram Na citrate 75 miligram glyceryl guaiacolate 50 miligram,Per 5 mililiter Klorfeniramini Maleat 2 miligram Efedrin HCl 5 miligram Natrium Sitrat 75 miligram Gliseril Guaiakolat 50 miligram Chlorpheniramine maleate 2 miligram ephedrine HCl 8 miligram Na citrate 75 miligram glyceryl guaiacolate 50 miligram
Tiap kemasan obat Poncoquin Tablet mengandung sebagai berikut Ofloxacin 200 miligram tablet Ofloxacin 400 miligram tablet,Poncoquin mengandung Ofloxacin 200 miligram Ofloxacin 400 miligram
tiap kemasan pondex mengandung sebagai berikut asam mefenamat 500 miligram kaplet forte asam mefenamat 500 miligram blister kaplet asam mefenamat 50 miligram 5 mililiter suspensi,pondex mengandung asam mefenamat 500 miligram kaplet forte asam mefenamat 500 miligram blister kaplet asam mefenamat 50 miligram 5 mililiter suspensi
PONSAMIC 500 miligram 10 TABLET PONSAMIC merupakan obat dengan kandungan Asam Mefenamat yang berfungsi sebagai anti nyeri pada tingkat ringan hingga sedang Obat ini sering digunakan untuk meredakan sakit kepala sakit gigi nyeri haid nyeri otot serta nyeri paska operasi dan melahirkan,PONSAMIC 500 miligram 10 PONSAMIC merupakan dengan Asam Mefenamat berfungsi anti nyeri pada tingkat ringan hingga sedang ini sering digunakan meredakan sakit kepala sakit gigi nyeri haid nyeri otot serta nyeri paska operasi dan melahirkan
Tiap tablet salut selaput Ponstan mengandung bahan 500 miligram asam mefenamat,salut selaput Ponstan mengandung bahan 500 miligram asam mefenamat
Kandungan asam mefenamat dalam Ponstan bekerja dengan menghambat pembentukankimia tubuh prostaglandin .,asam mefenamat Ponstan bekerja dengan menghambat pembentukankimia tubuh prostaglandin .
Tiap kemasan ponstelax mengandung sebagai berikut Asam mefenamat mefenamic acid 250 miligram kapsul Asam mefenamat 500 miligram kaplet Asam mefenamat 50 miligram 5 mililiter,ponstelax mengandung Asam mefenamat mefenamic acid 250 miligram Asam mefenamat 500 miligram kaplet Asam mefenamat 50 miligram 5 mililiter
Pontyamer B6 merupakan obat yang diproduksi oleh Sunthi Sepuri,Pontyamer B6 merupakan diproduksi oleh Sunthi Sepuri
Obat ini mengandung Pyrathiazine thecolate Pyridoxine hydrochloride yang diindikasikan untuk mencegah mual pasca operasi dan masa awal kehamilan mabuk perjalanan,ini mengandung Pyrathiazine thecolate Pyridoxine hydrochloride diindikasikan mencegah mual pasca operasi dan masa awal kehamilan mabuk perjalanan
Ponuric mengandung Allopurinol yaitu suatu obat yang termasuk golongan xanthine oxidase inhibitor yang didistribusikan oleh Armoxindo Farma,Ponuric mengandung Allopurinol yaitu termasuk golongan xanthine oxidase inhibitor didistribusikan oleh Armoxindo Farma
Obat ini bekerja dengan cara menghambat enzim xanthine oksidase sehingga mengurangi pembentukan asam urat dan juga dapat menghambat sintesis purin,ini bekerja dengan cara menghambat enzim xanthine oksidase sehingga mengurangi pembentukan asam urat dan juga dapat menghambat sintesis purin
"Nilai 4,8 16 Perusahaan Ferron Kandungan Ekstrak Channa Striata Purified Striatin 250 miligram","Nilai 4,8 16 Perusahaan Ferron Ekstrak Channa Striata Purified Striatin 250 miligram"
POSAFIT terbukti mempercepat peningkatan kadar albumin dengan,POSAFIT terbukti mempercepat peningkatan albumin dengan
"Informasi terlengkap tentang CENDO POSOP MINIDOSE 0,6 mililiter  Fungsi Kegunaan Ulasan Efek Samping Indikasi Aturan Pakai dan Dosis","Informasi terlengkap tentang CENDO POSOP MINIDOSE 0,6 mililiter Fungsi Kegunaan Ulasan Efek Samping Indikasi Aturan Pakai dan Dosis"
"POSPARGIN Methylergometrine maleate Bentuk sediaan Tablet salut selaput 0,125 miligram Dus isi 10 Stripe 10 tablet","POSPARGIN Methylergometrine maleate sediaan salut selaput 0,125 miligram isi 10 Stripe 10"
Postinor 2 adalah kontrasepsi darurat yang diminum secara oral untuk wanita yang baru saja berhubungan seksual tanpa pengaman Obat ini mengandung bahan levonorgestrel Levonorgestrel adalah hormon progestin yang menghambat pelepasan sel telur ovulasi selama siklus menstruasi berlangsung,Postinor 2 adalah kontrasepsi darurat diminum secara oral wanita baru saja berhubungan seksual tanpa pengaman ini mengandung bahan levonorgestrel Levonorgestrel adalah hormon progestin menghambat pelepasan sel telur ovulasi selama siklus menstruasi berlangsung
POSTOVIT 10 TABLETDefisiensi Vitamin dan mineral selama masa penyembuhan,POSTOVIT 10 TABLETDefisiensi Vitamin dan mineral selama masa penyembuhan
L-glutamine 100 miligram Zn 30 miligram vit C 200 miligram vit B1 30 miligram vit B2 30 miligram vit B5 20 miligram vit B6 10 miligram vit B12 5 mikrogram niacin 20 miligram folic acid 400 mikrogram 1 kali sehari setelah makan Aturan Pakai,L-glutamine 100 miligram Zn 30 miligram vit C 200 miligram vit B1 30 miligram vit B2 30 miligram vit B5 20 miligram vit B6 10 miligram vit B12 5 mikrogram niacin 20 miligram folic acid 400 mikrogram 1 kali sehari setelah makan Aturan Pakai
Dus 5 Stripe 10 Kaplet salut selaput Vitamin Supplement Item lainnya,5 Stripe 10 Kaplet salut selaput Vitamin Supplement Item lainnya
Potaflam-50 KapletDeskripsi obat Potaflam-50 kaplet digunakan untuk mengatasi radang persendian Obat ini merupakan obat keras yang harus menggunakan resep dokter Potaflam-50 mengandung kalium diklofenak  obat Kalium diklofenak 50 miligram Aturan pakai obat Dikonsumsi sesuai petunjuk dokter,Potaflam-50 Kaplet Potaflam-50 kaplet digunakan mengatasi radang persendian ini merupakan keras harus menggunakan resep dokter Potaflam-50 mengandung kalium diklofenak Kalium diklofenak 50 miligram Aturan pakai Dikonsumsi sesuai petunjuk dokter
Tiap kemasan Potazen 25 miligram Tablet mengandung sebagai berikut Kalium diclofenac 25 miligram tablet,Potazen 25 miligram mengandung Kalium diclofenac 25 miligram
Potensik merupakan salah satu Sediaan Kaplet Salut yang mengandung Methampyrone dan Diazepam obat ini diproduksi oleh Pyridam Farma,Potensik merupakan salah satu Sediaan Kaplet Salut mengandung Methampyrone dan Diazepam ini diproduksi oleh Pyridam Farma
tiap kemasan Poviral Tablet mengandung sebagai berikut Acyclovir 200 miligram tablet Acyclovir 400 miligram tablet,Poviral mengandung Acyclovir 200 miligram Acyclovir 400 miligram
Tiap kemasan Prabetic Tablet mengandung sebagai berikut Pioglitazone 15 miligram tablet Pioglitazone 30 miligram tablet,Prabetic mengandung Pioglitazone 15 miligram Pioglitazone 30 miligram
Informasi terlengkap tentang PRADAXA TABLET 150 miligram  Fungsi Kegunaan Ulasan Efek Samping Indikasi Aturan Pakai dan Dosis,Informasi terlengkap tentang PRADAXA 150 miligram Fungsi Kegunaan Ulasan Efek Samping Indikasi Aturan Pakai dan Dosis
Informasi terlengkap tentang PRALAX SIRUP 100 mililiter,Informasi terlengkap tentang PRALAX SIRUP 100 mililiter
PRANZA Tiap vial mengandung Pantoprazole sodium setara dengan pantoprazole 40 miligram dalam bentuk serbuk terliofilisasi Bentuk sediaan Vial 40 miligram pantoprazole Farmakologi,PRANZA vial mengandung Pantoprazole sodium setara dengan pantoprazole 40 miligram serbuk terliofilisasi sediaan Vial 40 miligram pantoprazole Farmakologi
tiap kemasan pratifar mengandung sebagai berikut Famotidine 20 miligram kaplet Famotidine 40 miligram kaplet,pratifar mengandung Famotidine 20 miligram kaplet Famotidine 40 miligram kaplet
Pratropil mengandung Piracetam obat ini diproduksi oleh Pratapa Nirmala,Pratropil mengandung Piracetam ini diproduksi oleh Pratapa Nirmala
Piracetam dapat meningkatkan memori dan meningkatkan kemampuan kognitif,Piracetam dapat meningkatkan memori dan meningkatkan kemampuan kognitif
Informasi terlengkap tentang PRAVASTATIN 20 miligram 10 TABLET,Informasi terlengkap tentang PRAVASTATIN 20 miligram 10
Informasi terlengkap tentang PRAVINAT KAPLET 20 miligram  Fungsi Kegunaan Ulasan Efek Samping Indikasi Aturan Pakai dan Dosis,Informasi terlengkap tentang PRAVINAT KAPLET 20 miligram Fungsi Kegunaan Ulasan Efek Samping Indikasi Aturan Pakai dan Dosis
Deskripsi Praxilene 200 miligram merupakan obat yang diproduksi oleh MERCK dan mengandung bahan naftidrofuryl oxalate 200 miligram,Praxilene 200 miligram merupakan diproduksi oleh MERCK dan mengandung bahan naftidrofuryl oxalate 200 miligram
tiap kemasan Praxion mengandung sebagai berikut Paracetamol micronized 125 miligram tablet Paracetamol micronized 250 miligram tablet Paracetamol micronized 500 miligram tablet,Praxion mengandung Paracetamol micronized 125 miligram Paracetamol micronized 250 miligram Paracetamol micronized 500 miligram
Deskripsi Prazina 500 miligram merupakan obat yang diproduksi oleh Conmed dan mengandung pyrazinamide 500 miligram Pyrazinamide adalah antituberculosis yang dapat menghambat pertubuhan dari bakteri yang menyebabkan tuberculosis,Prazina 500 miligram merupakan diproduksi oleh Conmed dan mengandung pyrazinamide 500 miligram Pyrazinamide adalah antituberculosis dapat menghambat pertubuhan dari bakteri menyebabkan tuberculosis
"PRAZOTEC 30 miligram adalah obat untuk mengatasi masalah lambung dan esofagus Lasgan mengandung lansoprazole yang bekerja dengan menurunkan produksi asam lambung lansoprazole obat yang digolongkan sebagai penghambat pompa proton proton pump inhibitor PPI , Dalam penggunaan obat ini harus SESUAI DENGAN PETUNJUK DOKTER","PRAZOTEC 30 miligram adalah mengatasi masalah lambung dan esofagus Lasgan mengandung lansoprazole bekerja dengan menurunkan produksi asam lambung lansoprazole digolongkan penghambat pompa proton proton pump inhibitor PPI , penggunaan ini harus SESUAI DENGAN PETUNJUK DOKTER"
PREABOR 5 miligram 10 TABLET adalah obat yang digunakan untuk mencegah persalinan prematur dan mencegah terjadinya keguguran,PREABOR 5 miligram 10 adalah digunakan mencegah persalinan prematur dan mencegah terjadinya keguguran
Preabor mengandung allyestrenol adalah hormon sintetik yang memiliki aktivitas mirip dengan hormon progesteron alami,Preabor mengandung allyestrenol adalah hormon sintetik memiliki aktivitas mirip dengan hormon progesteron alami
Precedex digunakan untuk sedasi dalam perawatan kritis,Precedex digunakan sedasi perawatan kritis
Golongan Psikotropik Kelas Terapi Hipnotik dan Sedatif Kandungan Dexmedetomidine,Golongan Psikotropik Kelas Terapi Hipnotik dan Sedatif Dexmedetomidine
Obat Precopar Berita Terkini Obat Precopar Terlengkap dari Pengertian Info,Precopar Berita Terkini Precopar Terlengkap dari Pengertian Info
"Kandungan Amino acid 5% BCAA 50% , vitamin B6, L-isoleucine 8.45 gram","Amino acid 5% BCAA 50% , vitamin B6, L-isoleucine 8.45 gram"
PREDNICORT 4 miligram 10 TABLET,PREDNICORT 4 miligram 10
PREDNICORT merupakan obat dengan kandungan Methylprednisolone sebagai glukokortikoid yg digunakan sebagai terapi pengganti pada keadaan defisiensi korteks adrenal dan memiliki antiinflamasi yg kuat,PREDNICORT merupakan dengan Methylprednisolone glukokortikoid yg digunakan terapi pengganti pada keadaan defisiensi korteks adrenal dan memiliki antiinflamasi yg kuat
Penurunan kadar prednison dalam darah jika digunakan bersama antasida Peningkatkan efektivitas obat glikosida jantung dan,Penurunan prednison darah jika digunakan bersama antasida Peningkatkan efektivitas glikosida jantung dan
Tiap kemasan obat Prednox caplet mengandung sebagai berikut Methylprednisolone 4 miligram caplet Methylprednisolone 8 miligram caplet Methylprednisolone 16 miligram caplet,Prednox mengandung Methylprednisolone 4 miligram Methylprednisolone 8 miligram Methylprednisolone 16 miligram
"Pregabalin adalah obat yang digunakan untuk meredakan nyeri neuropati akibat diabetes neuropati diabetik , herpes zoster cedera saraf","Pregabalin adalah digunakan meredakan nyeri neuropati akibat neuropati diabetik , herpes zoster cedera saraf"
Manfaat Meredakan nyeri neuropati Mengatasi kejang Golongan Antikonvulsan Kategori Obat resep Dikonsumsi oleh Dewasa,Manfaat Meredakan nyeri neuropati Mengatasi kejang Golongan Antikonvulsan Kategori resep Dikonsumsi oleh Dewasa
Kandungan Pregnacare PlusKarotenoid alami 2 miligram Zinc 15 miligram Magnesium 150 miligram Iodin 140 mikrogram Tembaga 1 miligrambesi 20 miligram Asam folat 400 mikrogram Vitamin B12 6 mikrogram Item lainnya,Pregnacare PlusKarotenoid alami 2 miligram Zinc 15 miligram Magnesium 150 miligram Iodin 140 mikrogram Tembaga 1 miligrambesi 20 miligram Asam folat 400 mikrogram Vitamin B12 6 mikrogram Item lainnya
Setiap tablet Pregnolin mengandung Allylestrenol,Pregnolin mengandung Allylestrenol
Allylestrenol mirip dengan progesteron alami bekerja dengan cara mempersiapkan rahim untuk menerima sel telur yang dibuahi dan menekan motilitas pergerakan rahim,Allylestrenol mirip dengan progesteron alami bekerja dengan cara mempersiapkan rahim menerima sel telur dibuahi dan menekan motilitas pergerakan rahim
